VehicleID,Time,LaneID,Lateral,Longitudinal,Speed,Speed_kph,Acceleration,VehicleLength,Width,Gap,Headway
3,4.800000000000001,4,0.0,12.799999999999999,16.0,57.6,0.0,5.7,1.7,0.0,2
1,4.9,4,0.0,75.19999999999999,16.0,57.6,0.0,5.7,1.7,0.0,2
2,4.9,4,0.0,44.80000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
3,4.9,4,0.0,14.399999999999999,16.0,57.6,0.0,5.7,1.7,0.0,2
1,5.0,4,0.0,76.79999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
2,5.0,4,0.0,46.40000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
3,5.0,4,0.0,15.999999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
1,5.1000000000000005,4,0.0,78.39999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
2,5.1000000000000005,4,0.0,48.00000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
3,5.1000000000000005,4,0.0,17.599999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
1,5.2,4,0.0,79.99999999999997,16.0,57.6,0.0,5.7,1.7,0.0,2
2,5.2,4,0.0,49.60000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
3,5.2,4,0.0,19.2,16.0,57.6,0.0,5.7,1.7,0.0,2
1,5.300000000000001,4,0.0,81.59999999999997,16.0,57.6,0.0,5.7,1.7,0.0,2
2,5.300000000000001,4,0.0,51.200000000000024,16.0,57.6,0.0,5.7,1.7,0.0,2
3,5.300000000000001,4,0.0,20.8,16.0,57.6,0.0,5.7,1.7,0.0,2
1,5.4,4,0.0,83.19999999999996,16.0,57.6,0.0,5.7,1.7,0.0,2
2,5.4,4,0.0,52.800000000000026,16.0,57.6,0.0,5.7,1.7,0.0,2
3,5.4,4,0.0,22.400000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
1,5.5,4,0.0,84.79999999999995,16.0,57.6,0.0,5.7,1.7,0.0,2
2,5.5,4,0.0,54.40000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
3,5.5,4,0.0,24.000000000000004,16.0,57.6,0.0,5.7,1.7,0.0,2
1,5.6000000000000005,4,0.0,86.39999999999995,16.0,57.6,0.0,5.7,1.7,0.0,2
2,5.6000000000000005,4,0.0,56.00000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
3,5.6000000000000005,4,0.0,25.600000000000005,16.0,57.6,0.0,5.7,1.7,0.0,2
1,5.7,4,0.0,87.99999999999994,16.0,57.6,0.0,5.7,1.7,0.0,2
2,5.7,4,0.0,57.60000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
3,5.7,4,0.0,27.200000000000006,16.0,57.6,0.0,5.7,1.7,0.0,2
1,5.800000000000001,4,0.0,89.59999999999994,16.0,57.6,0.0,5.7,1.7,0.0,2
2,5.800000000000001,4,0.0,59.20000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
3,5.800000000000001,4,0.0,28.800000000000008,16.0,57.6,0.0,5.7,1.7,0.0,2
1,5.9,4,0.0,91.19999999999993,16.0,57.6,0.0,5.7,1.7,0.0,2
2,5.9,4,0.0,60.80000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
3,5.9,4,0.0,30.40000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
4,6.0,4,0.0,0.0,16,57.6,0.0,5.7,1.7,0.0,2
1,6.1000000000000005,4,0.0,92.79999999999993,16.0,57.6,0.0,5.7,1.7,0.0,2
2,6.1000000000000005,4,0.0,62.400000000000034,16.0,57.6,0.0,5.7,1.7,0.0,2
3,6.1000000000000005,4,0.0,32.00000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
4,6.1000000000000005,4,0.0,1.6,16.0,57.6,0.0,5.7,1.7,0.0,2
1,6.2,4,0.0,94.39999999999992,16.0,57.6,0.0,5.7,1.7,0.0,2
2,6.2,4,0.0,64.00000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
3,6.2,4,0.0,33.60000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
4,6.2,4,0.0,3.2,16.0,57.6,0.0,5.7,1.7,0.0,2
1,6.300000000000001,4,0.0,95.99999999999991,16.0,57.6,0.0,5.7,1.7,0.0,2
2,6.300000000000001,4,0.0,65.60000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
3,6.300000000000001,4,0.0,35.20000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
4,6.300000000000001,4,0.0,4.800000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
1,6.4,4,0.0,97.59999999999991,16.0,57.6,0.0,5.7,1.7,0.0,2
2,6.4,4,0.0,67.20000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
3,6.4,4,0.0,36.80000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
4,6.4,4,0.0,6.4,16.0,57.6,0.0,5.7,1.7,0.0,2
1,6.5,4,0.0,99.1999999999999,16.0,57.6,0.0,5.7,1.7,0.0,2
2,6.5,4,0.0,68.80000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
3,6.5,4,0.0,38.40000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
4,6.5,4,0.0,8.0,16.0,57.6,0.0,5.7,1.7,0.0,2
1,6.6000000000000005,4,0.0,100.7999999999999,16.0,57.6,0.0,5.7,1.7,0.0,2
2,6.6000000000000005,4,0.0,70.4,16.0,57.6,0.0,5.7,1.7,0.0,2
3,6.6000000000000005,4,0.0,40.000000000000014,16.0,57.6,0.0,5.7,1.7,0.0,2
4,6.6000000000000005,4,0.0,9.6,16.0,57.6,0.0,5.7,1.7,0.0,2
1,6.7,4,0.0,102.39999999999989,16.0,57.6,0.0,5.7,1.7,0.0,2
2,6.7,4,0.0,72.0,16.0,57.6,0.0,5.7,1.7,0.0,2
3,6.7,4,0.0,41.600000000000016,16.0,57.6,0.0,5.7,1.7,0.0,2
4,6.7,4,0.0,11.2,16.0,57.6,0.0,5.7,1.7,0.0,2
1,6.800000000000001,4,0.0,103.99999999999989,16.0,57.6,0.0,5.7,1.7,0.0,2
2,6.800000000000001,4,0.0,73.6,16.0,57.6,0.0,5.7,1.7,0.0,2
3,6.800000000000001,4,0.0,43.20000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
4,6.800000000000001,4,0.0,12.799999999999999,16.0,57.6,0.0,5.7,1.7,0.0,2
1,6.9,4,0.0,105.59999999999988,16.0,57.6,0.0,5.7,1.7,0.0,2
